question,option,answer
"Getting to know yourself better takes ___. It is far easier to hide behind a mask than to see yourself as you really are. If you wish to know yourself and change for the better, you need to accept your weaknesses, mistakes, and more. That requires facing the fear of knowing yourself as you are. Most people who are afraid to know themselves, need others present constantly to entertain and distract them. That¡¯s because they are fearful of being still and actually seeing themselves. However, relying on others will only make matters worse. So you need to try to stay totally alone and see who you are, controlling the fear inside you. It will take a lot of nerve, but it is worth it.","courage, strategy, modesty, knowledge, responsibility",courage
"Sometimes an expert has to make a decision quickly when he doesn¡¯t have all the information at hand. In his book, Blink: The Power of Thinking Without Thinking, Malcolm Gladwell describes how experts can make spontaneous decisions that can be better than well-thought-out ones, citing the example of a firefighter who answered a routine call. When his men¡¯s efforts to extinguish the fire failed, the lieutenant realized that something was wrong and ordered his team to get out of the building. A few moments later, the space where they had been standing collapsed. The fire had been under the floor, not in the room itself. When asked how he knew, the fireman couldn¡¯t immediately explain. Had he stopped to analyze the situation, he and his men would have been killed. Instead, he relied on his ___ to tell him what to do.","staff, instinct, gadget, analysis, memory",instinct
" It often feels reasonable to give a ___. With a customer, that may mean saying ""I can do this for between $10,000 and $15,000."" With a new employee, you could be tempted to say, ""You can start between April 1 and April 15."" But that word between tends to suggest that you will take a step back, and any clever negotiator will quickly focus on the cheaper price or the later deadline. In other words, you will find that, by saying the word between, you will get disadvantaged without getting anything in return.","range, job, hint, prize, hand",range
"Jenny Hernandez is the manager of a medium¡©sized company that employs about 25 people. Jenny's leadership has been contributing to the success of the company. One characteristic of Jenny's style is her ___. She does not want to give anyone the impression that certain people have an advantage, and she makes a lot of effort to prevent this from happening. For example, she avoids social lunches because she thinks they create the perception of favoritism. Similarly, even though her best friend is one of the employees, she is seldom seen talking with her, and if she is, it is always about business matters.","fairness, diligence, creativity, confidence, friendliness",fairness
"Modern-day men tend to spend a lot of time and money on their ___. Today, global sales of male grooming products bring in billions of dollars a year, and the industry is not expected to slow down. However, modern man's interest in grooming and cosmetic products is not a new phenomenon. Men in Egypt had their own makeup boxes that comprised special jars of colored makeup which they applied to their eyes, lips, cheeks, and nails. Greek men also applied flower-based oils to their skin. The eye creams, facial masks, and moisturizers that men are buying today are simply different versions of the same idea, one that began 12,000 years ago.","appearance, homes, relationships, healthcare, hobbies",appearance
"Most people know that plants react to light. For instance, if a house plant is near a window, it will start to grow towards the light. But what about sound? New research shows that plants not only react to sound, but even ___ sound themselves. While Dr. Monica Gagliano, a researcher at The University of Western Australia, was working in her herb garden, she started to wonder if plants were sensitive to sounds. She and her colleagues discovered something amazing in their research. They found out that the roots of very young corn plants make clicking sounds although the sounds can't be heard by the human ear. They also found out that when they suspended the roots of corn plants in water, the roots leaned towards the sounds similar to the ""clicking sounds"" the corn seedlings made.","reflect, change, increase, remove, produce",produce
"Children observe and learn from their parents' purchasing behavior, even though parents may not always be aware of it. For example, a child sees the mother squeeze an orange slightly to check if it is fresh, and from this observation he or she learns how to tell whether a fruit is ripe. Similarly, a child observes how the mother reads through the newspapers, cuts the sales coupons, and presents them during a shopping trip. Thus, probably most of the consumer behavior patterns initially learned by children are ___ of those of their parents, particularly their mom.","duties, errors, copies, causes, necessities",copies
"A funny thing happens to most of our stuff almost immediately after we buy it. What we paid for in the store and brought home was a treasure, a stylish dress, or the latest cell phone. But once it belongs to us and takes up space inside our home, the stuff starts ___. ""Our houses are basically garbage processing centers,"" said one cynical comedian. As soon as stuff enters our homes, it begins the transformation. We get something and it starts out prominently displayed, then gets moved onto a shelf, then stuffed in a closet, then thrown in a box in the garage and held there until it becomes garbage. I definitely think the words 'garage' and 'garbage' must be related.","losing value, looking fresh, getting shared, grabbing attention, becoming unharmful",losing value
"People think identical twins are exactly alike in every way: they look alike, they dress in matching clothes, and they share the same likes and dislikes. Parents of identical twins, however, know differently. In fact, identical twins are ___ individuals. For example, my own children have always shown about a twenty¡©five percent difference in their weight. Also, they don't act alike either. One likes to dance; the other likes to play basketball. Certainly, we encourage them to pursue their individual interests, but they decide to do these activities all on their own.","active, paired, unique, talented, thoughtful",unique
"One late evening in August of 1952, in a theater in New York, a man just opened and closed a piano cover three times before an audience, not hitting any keys for four minutes and thirty¡©three seconds. It was John Cage's 4¡Ç33¡È, the famous musical composition that consists of ___. Cage believed the audience could feel music fully without the artist. Therefore, the only way to prove his belief was to remove the artist from the process of creation. In 4¡Ç33¡È, neither artist nor composer had any impact on the piece, so that Cage had no way of controlling what sounds would be heard by the audience.","lyrics, chorus, silence, laughing, humming",silence
"A tornado touched down in Hammond on June 20, 2002, with tragic results. Towering Pines, the wilderness preserve owned and maintained by the town, was largely destroyed. The tornado was, according to all weather experts in the area, a very rare case in New England. Captain Maria Hinojosa of the New England Weather Bureau says, ""The Hammond tornado was like a snowstorm in South Africa, or a drought in the rain forest. It wasn't impossible. But it is one of those things that reminds you that weather is ___.""","rarely variable, regionally forecast, gradually improving, highly unpredictable, constantly controlled",highly unpredictable
"The desire to have a fulfilling job¡ªa career that provides a deep sense of purpose, and reflects our values, passions and personality¡ªis a(n) ___. The word 'fulfillment' does not even appear in the famous dictionary, A Dictionary of the English Language, published in 1755. For centuries, most people of the Western world were busy struggling to meet their basic needs. They could not care about whether they had an exciting career that used their talents and improved their well¡©being. Any idea of fulfillment didn't exist in their minds. But today, the spread of material richness has freed our minds to pursue fulfillment from our work.","unclear idea, natural feeling, moral principle, modern concept, unexpected result",modern concept
"Imagine you want to write a book. You can usually type 1,000 words in an hour working on your book. This goes well for the first 2 hours, and you type 1,000 words per hour. However, at the third hour, you feel tired and you only type 500 words. That's 500 words less than your usual output! Output decreases over time when there are no breaks. ___ is important. Taking time off recharges your batteries so you can sprint forward when you return to work. Refresh and renew yourself: your body, mind and spirit. Then get back to work.","Rest, Concentration, Practice, Patience, Cooperation",Rest
"The founding population of our direct ancestors is not thought to have been much larger than 2,000 individuals; some think the group was as small as a few hundred. How, then, did we go from such a fragile minority population to a tide of humanity 7 billion strong and growing? There is only one way, according to Richard Potts. You give up on ___. You don't try to beat back the changes. You begin not to care about consistency within a given habitat, because such consistency isn't an option. You adapt to variation itself. It was a brilliant strategy. Instead of learning how to survive in just one or two ecological environments, we took on the entire globe.","stability, morality, fairness, reputation, challenges",stability
"The major change in mapping in the past decade, as opposed to in the previous 6,000 to 10,000 years, is that mapping has become ___. It's not the map itself that has changed. You would recognize a 1940 map and the latest, modern map as having almost the same look. But the old map was a fixed piece of paper, the same for everybody who looked at it. The new map is different for everyone who uses it. You can drag it where you want to go, you can zoom in as you wish, you can switch modes ¡ªtraffic, satellite¡ªyou can fly across your town, even ask questions about restaurants and directions. So a map has gone from a fixed, stylized portrait of the Earth to a dynamic, interactive conversation about your use of the Earth.","accurate, difficult, personal, outdated, educational",personal
"Recently on a flight to Asia, I met Debbie, who was warmly greeted by all of the flight attendants and was even welcomed aboard the plane by the pilot. Amazed at all the attention being paid to her, I asked if she worked with the airline. She did not, but she deserved the attention, for this flight marked the milestone of her flying over 4 million miles with this same airline. During the flight I learned that the airline's CEO personally called her to thank her for using their service for a long time and she received a catalogue of fine luxury gifts to choose from. Debbie was able to acquire this special treatment for one very important reason: she was a ___ customer to that one airline.","courageous, loyal, complaining, dangerous, temporary",loyal
" Perhaps the biggest mistake that most investors make when they first begin investing is getting into a panic over losses. This is a major obstacle to making a strong and long-lasting plan. We work hard for our money, and we want to see it grow and work hard for us. But what most beginning investors don't understand is that investing in the stock market is a risk, and that with risk, you sometimes take losses. Although an investment may be falling in price, it doesn't mean you have to abandon it in a rush. The point is, as investors, we should not focus on short-term losses, but rather on long-term growth. Therefore, be ___ when it comes to not only your stock portfolio but to personal investments as well.","honest, patient, productive, diligent, cooperative",patient
"Consider your typical day. You wake up in the morning and pour yourself juice from oranges grown in Florida and coffee from beans grown in Brazil. Over breakfast, you watch a news program broadcast from New York on your television made in Japan. You get dressed in clothes made of cotton grown in Georgia and sewn in factories in Thailand. Every day, you rely on many people, most of whom you do not know, to provide you with the goods and services that you enjoy. Such ___ is possible because people trade with one another. Those people providing you goods and services are not acting out of generosity. Nor is some government agency directing them to satisfy your desires. Instead, people provide you and other consumers with the goods and services they produce because they get something in return.","interdependence, competition, unfairness, regulation, charity",interdependence
"eople are attracted to individuals and things they cannot readily obtain. In the case with things, people are more attracted to a desired object because it is out of their reach. When the object of desire is finally gained, the attraction for the object rapidly decreases. Christmas presents provide a good example of this phenomenon. Toys children wanted all year long are thrown away several days after they are taken from gift boxes under the tree. The phenomenon also holds true for human interaction, particularly in the early stages of a developing relationship. The common dating rule has scientific merit. An individual should not always make himself or herself readily available to the person they are targeting for a longer-term relationship. A certain level of ___ will make you more of a mystery and a challenge.","distrust, difference, intelligence, irresponsibility, unavailability",unavailability
"Language is an ability, inherent in us. We can know the ability only through studying the actual languages. Thus, one of the best reasons for studying languages is to find out about ourselves, about what makes us persons. And the best place to start such study is with our own language. Then what would be the good way to study a language? The best approach is the ___ one. To understand how things are, it is often helpful and sometimes essential to know how they got to be that way. If we are psychologists who want to understand a person's behavior, we must know something about that person's origins and development over time. The same is true of a language.","political, physical, historical, economic, psychological",historical
"A good place for business leaders to start the process of building trust is by becoming more ___ to their employees. Getting out of the office and mixing with employees is a simple solution to a very common trust problem. In organizational improvement workshops, we often ask, ""What is the single greatest barrier to improving communication and trust between you and your manager?"" In many cases, the  first response is, ""I never see her. She's always in a meeting."" The employees cannot develop a perception  of trust with higher-ups when some don't even know what they look like. If leaders seldom come out of the office, choosing to communicate through email instead, they are no longer a part of that organization.","similar, visible, frank, grateful, subjective",visible
"There is a long and honorable history of procrastination to suggest that many ideas and decisions may well improve if postponed. It is something of a truism that to put off making a decision is itself a decision. The parliamentary process is essentially a system of delay and deliberation. So, for that matter, is the creation of a great painting, or an entr?e, or a book, or a building like Blenheim Palace, which took the Duke of Marlborough's architects and laborers 15 years to construct. In the process, the design can mellow and marinate. Indeed, ___ can be the assassin of elegance. As T.H. White, author of Sword in the Stone, once wrote, time ""is not meant to be devoured in an hour or a day, but to be consumed delicately and gradually and without haste."" In other words, what you don't necessarily have to do today, by all means put off until tomorrow.","hurry, caution, complexity, imitation, system",complexity
"According to field researchers, chimpanzees eat some plants for ___. Chimps occasionally eat Aspilia, which is not part of chimps' usual diet because its leaves are rough, sharp and extremely nasty to eat. They usually eat it first thing in the morning and in a very different way than normal food. They do not chew the leaves, but roll them around in their mouth before swallowing. It looks just as if they are taking old¡©fashioned medicine. Some African people use Aspilia to relieve stomach complaints or remove intestinal worms. It also has antibiotic properties. It is thought that chimps use Aspilia for the same purposes.","mood change, nutritional balance, medicinal purposes, additional moisture, social interaction",medicinal purposes
"Bullying is any behavior that hurts or is violent toward another person. It may be verbal or physical. While it is often considered to be simply ""normal kid stuff,"" it can severely damage the emotional health of the victim. Children often don't tell anyone because of fear of what may happen. It is essential that parents talk to their children on a regular basis about not only their schoolwork and friends but also their safety. Parents should ask their children direct questions about what's going on at school and how they feel about it. If parents have ongoing ___ with their children, when big issues come up, their sons and daughters will feel safe talking to them about their problems. Create a safe, loving environment in which kids can talk.","communication, disconnection, conflicts, exercise, tension",communication
"A man was sightseeing at Niagara Falls. He was so thirsty that he drank some of the water from the falls, but as he turned around, he noticed a sign that said, ""Poisson."" He thought that he had drunk poison, and suddenly felt a sharp stomach pain. Other tourists saw how the man was suffering and quickly took him to the hospital. However, when the physician heard the man's story, he only laughed. The doctor said, ""Sir, what you saw on that sign wasn't the English word, 'poison,' but the French word 'poisson.' The word was 'fishing' or in other words the sign meant, 'Do not fish.'"" At the doctor's explanation, the stomach pains that the man had been feeling ___ and he went home as if nothing had happened.","spread, occurred, restarted, continued, disappeared",disappeared
"Rhonda, who attended the University of California at Berkeley, was living near campus with several other people¡ªnone of whom knew one another. When the cleaning people came each weekend, they left several rolls of toilet paper in each of the two bathrooms. However, by Monday all the toilet paper would be gone because some people took more than their fair share of the toilet paper. Rhonda had an idea. She put a note in one of the bathrooms asking people not to remove toilet paper, as it was a shared commodity. To her great satisfaction, one roll reappeared in a few hours, and another the next day. In the other note-free bathroom, however, there was no toilet paper until the following weekend, when the cleaning people returned. This little experiment demonstrates how effective small ___ can be in helping us maintain our ethical standards and, in this case, a fully stocked bathroom.","reminders, simulations, punishments, discussions, obstacles",reminders
"There are a lot of possible connections one can draw between Roman times and today, but perhaps the most important of them is memento mori. At the peak of Rome's power, Roman generals who had won significant victories marched through the middle of the city displaying their spoils. They were hailed, celebrated, and admired. But there was one more element to the ceremony: throughout the day a slave walked next to the general, and in order to prevent the victorious general from falling into arrogance, the slave whispered repeatedly into his ear, memento mori, which means ""remember your mortality."" However, if I were in charge of developing a modern version of the phrase, I would probably pick ""remember your imperfections"" or maybe ""remember your irrationality."" Whatever the phrase is, being ___ is a crucial first step on the path to making better decisions, creating better societies, and fixing our institutions.","unique, modest, perfect, decisive, initiative",modest 
"The essence of sports is competition. However, it is in the best interest of professional sports clubs for this competition to occur on the playing field, not in the marketplace. The reason is easily observable. Imagine that sports clubs competed for fans in purely competitive markets. The more successful clubs would sell more tickets and would naturally earn higher profits, which would allow these clubs to attract the best players through higher salaries. Over time, these clubs would become so much stronger than the less successful teams that competition on the playing field would become boring for spectators. Weak teams would eventually be forced into bankruptcy, and strong teams would lose fans. Therefore, a professional sports club's economic decisions and those of its rivals are ___.","interdependent, conflicting, unintentional, temporary, ambiguous",interdependent
"Someone who really loves us will be honest with us but will also tend to see us through rose-colored glasses. Sandra Murray and her co-workers studied dating and married couples. They found that the happiest were those who idealized each other, who even saw their partners more positively than their partners saw themselves. When we're in love, we're biased to find those we love not only physically attractive but socially attractive as well. Moreover, the most satisfied married couples tend to approach problems without immediately criticizing their partners. Honesty has its place in a good relationship, but so does the ___ of the other's basic goodness.","abuse, ignorance, presumption, analysis, suspicion",presumption
"Most people, when trying to persuade others, do too much talking themselves. If you disagree with someone else, give them time to talk. They also have strong opinions like you do. So you should ask them questions. Let them tell you a few things. If you disagree with them, you may be tempted to interrupt. But you shouldn't. It is dangerous. They won't pay attention to you while they still have a lot of ideas of their own they want to express. So ___ patiently and with an open mind. Encourage them to express their ideas fully.","work, study, listen, explain, challenge",listen
"It's not a real vacation if you're reading email or calling in for messages. When Jai and I went on our honeymoon, we wanted to be left alone. My boss, however, felt I needed to provide a way for people to contact me. So, I came up with the perfect phone message: ""Hi, this is Randy. My wife and I are going away for a month. I hope you don't have a problem with that, but my boss does."" I then gave the names of Jai's parents and their address. ""If you look them up in the phone book, you can get their number. And then, if you can convince my new in¡©laws that your emergency merits interrupting their only daughter's honeymoon, they have our number."" We didn't get any ___.","gifts, calls, relatives, contracts, promotions",calls
"No one else can experience the way your heart feels about things. No one can see through the lens you use to see life quite the same as you do. Accept this ___. Honor and praise it, too. Do not be quick to compromise it. In your desire to fit in or make others happy, you may be tempted to pretend to be someone you are not. You may even pretend to believe things you don't really believe, or act in ways that are out of character with who you really are. When you do this, you lose out on the real you. The world loses out on you, too. Strive to be a healthy, happy and enlightened person¡ªand then, taking your place alongside your fellow travelers, offer your self to the waiting world.","similarity, endurance, generosity, individuality, compliment",individuality
"Many of the biggest stars in sports are tough to deal with and rarely does an agent develop a connection with them during the first encounter. The most important lesson I learned as a sports agent is that it isn't just about signing a million¡©dollar contract. When I am working with a client, there are hundreds of little things that take place during the weeks before we are ready to sit down and negotiate. Small stuff plays a big part in how satisfied and comfortable my clients are with me and my services. I often express interest in their recent vacation or how their children are doing in school. Paying attention to ___ is a huge sign of respect to today's top athletes.","details, deals, results, rewards, schedules",details
"A new study suggests that ___ influence our experience of the food. People perceived yogurt as denser and more expensive when eaten with lighter spoons, the researchers report today in the journal Flavour, probably because those spoons matched their expectations. But yogurt tasted with that spoon was also rated as less sweet than when eaten with heavier or larger spoons. And the people thought yogurt tasted sweeter when they ate it with a white spoon than with a black one. In a final experiment with different types of cheese, the researchers found that people rated cheese as saltier when they sampled it with a knife insead of a fork, spoon, or toothpick. This may have been because eating with a knife is an unusual behavior, the researchers speculated, or because it reminded people of using a knife to try samples in a cheese shop, where cheeses tend to be more aged and therefore saltier.","ages, places, genders, utensils, ingredients",utensils
"People make purchasing decisions by choosing between alternatives or by rejecting certain options. But a new study in the Journal of Consumer Research finds that focusing on rejecting an option can lead consumers to ___ their preferences. Why does this happen? When consumers reject options, they need to decide which alternative they do not want, so they focus on options that are less preferred in order to assess if they should reject those options. This shift of focus makes them more likely to notice appealing features of the initially less preferred option. For example, a newly married couple who prefers an apartment closer to the subway station because of easy access to it, but doesn't have enough money, was told to select an apartment to 'reject': an apartment closer to the subway station or a less expensive one farther from the station. Simply instructing them to decide which one they would like to 'reject' makes them more likely to choose the less expensive apartment as their place to live in. Similarly, those who said they would prefer a less-expensive apartment selected the apartment close to the station.","mix, reverse, conceal, maintain, neutralize",reverse
"It is not a new idea that cooking is an activity that ___ humans. In 1773, the Scottish writer James Boswell, noting that ""no beast is a cook,"" called Homo sapiens ""the cooking animal."" Fifty years later, in The Physiology of Taste, the French gastronome Jean Anthelme Brillat-Savarin claimed that cooking made us who we are; by teaching men to use fire, it had ""done the most to advance the cause of civilization."" More recently, L?i-Strauss, writing in The Raw and the Cooked in 1964, reported that many of the world's cultures entertained a similar view, regarding cooking as the symbolic activity that ""establishes the difference between animals and people.""","defines, protects, harms, confuses, entertains",defines
"The biggest trap many family gardeners fall into is creating a garden that is too large. Even though you may have the best of intentions, over time a garden that is too large will become a maintenance nightmare. My family, like many others, eagerly planted large gardens only to cut back slowly on the time devoted to gardening. Sometime in September, we ended up with a garden full of overripened fruit and out¡©of¡©control, overgrown plants. This situation is not enjoyable for adult gardeners, let alone for children. Most children (and many adults) won't enjoy spending their warm sunny days tending an overgrown garden plot. When thinking about the size of your family garden, be ___. Plan the size according to the time your family can devote to the garden.","diligent, ambitious, realistic, challenging, cooperative",realistic
"Teams made up of diverse specialists are infamous for their inability to get things done. Despite the best¡©laid plans of the managers who assemble such teams, the differences among members frequently lead to poor communication, conflict, and confusion. Members new to one another simply don't understand when and how to communicate. Some groups never master this; and even in groups that do, the process takes time, slowing progress toward team goals. ___ can help a group overcome this obstacle: Once a team has learned when and how to communicate on one project, it can carry those skills over to the next. Research shows that many teams struggle to make use of the knowledge each individual brings to the task, because their members don't know who has what information. Discovering this knowledge can take time and effort; the more frequently the same individuals work together, the better an organization performs.","Familiarity, Motivation, Expertise, Leadership, Competition",Familiarity
"Compared with farmers, hunter-gatherers led a more ___ life. Modern anthropologists who have spent time with surviving hunter-gatherer groups report that gathering food only accounts for a small proportion of their time¡ªfar less than would be required to produce the same quantity of food via farming. The !Kung Bushmen of the Kalahari, for example, typically spend twelve to nineteen hours a week collecting food, and the Hazda nomads of Tanzania spend less than fourteen hours. That leaves a lot of time free for leisure activities, socializing, and so on. When asked by an anthropologist why his people had not adopted farming, one Bushman replied, ""Why should we plant, when there are so many mongongo nuts in the world?"" In effect, hunter-gatherers work two days a week and have fiveday weekends.","leisurely, systematic, dangerous, stressful, isolated",leisurely
"John Wooden, the great UCLA basketball coach who produced 10 NCAA championship teams in 12 years during the 1960s and 1970s, perfectly exemplified the power of ___. In the fascinating film documentary The UCLA Dynasty, one player recalled, ""There was a way to do everything. You could have taken UCLA people who played in 1955, 1965, 1970, and 1975; put them on the same team; and they would have been able to play with each other, instantly."" Wooden ran his drills with rare modifications over the course of three decades. Drills would start and end like clockwork, the same drills performed before the national championship as at the beginning of the season so that, in the words of a star player, ""By the time the games came along, they just became memorized exhibitions of brilliance.""","honesty, analysis, cooperation, consistency, encouragement",consistency
"Today it often seems we remember very little. When I wake up, the first thing I do is check my day planner, which remembers my schedule so that I don't have to. When I climb into my car, I enter my destination into the GPS, whose spatial memory supplants my own. When I sit down to work, I open up a notebook that holds the contents of my interviews. Now, thanks to the Internet, I rarely have to remember anything more than the right set of search terms to access humankind's collective memory. Growing up, in the days when you still had to press seven buttons, or turn a clunky rotary dial, to make a telephone call, I could recall the numbers of all my close friends and family. Today, I'm not sure if I know more than four phone numbers by heart. And that's probably more than most people do. Our gadgets ___ the need to remember such things.","create, eliminate, promote, solidify, overestimate",eliminate
"You can actually become your own cheerleader by talking to yourself positively and then acting as if you were already the person that you wanted to be. Act as though you were trying out for the role of a positive, cheerful, happy, and likable person. Walk, talk, and act as if you were already that person. Treat everyone you meet as though you had just won an award for being the very best person in your industry or as though you had just won the lottery. You will be amazed at how much better you feel about yourself after just a few minutes of ___.","pretending, competing, purchasing, complaining, aplogizing",pretending
"The English political scientist John Stuart Mill realized that it is not only within the goods market that a lack of competition is able to push prices up. Monopoly effects can also emerge in the ___ market. He pointed to the case of goldsmiths, who earned much higher wages than workers of a similar skill because they were perceived to be trustworthy¡ªa characteristic that is rare and not easily provable. This created a significant barrier to entry so that those working with gold could demand a monopoly price for their services. Mill realized that the goldsmiths' situation was not an isolated case. He noted that large sections of the working classes were barred from entering skilled professions because they entailed many years of education and training. The cost of supporting someone through this process was out of reach for most families, so those who could afford it were able to enjoy wages far above what might be expected.","labor, street, gold, property, capital",labor
"Changing our food habits is one of the hardest things we can do, because the impulses governing our preferences are often hidden, even from ourselves. And yet adjusting what you eat is entirely possible. We do it all the time. Were this not the case, the food companies that launch new products each year would be wasting their money. After the fall of the Berlin Wall, housewives from East and West Germany tried each other's food products for the first time in decades. It didn't take long for those from the East to realize that they preferred Western yogurt to their own. Equally, those from the West discovered a liking for the honey and vanilla wafer biscuits of the East. From both sides of the wall, these German housewives showed a remarkable ___ in their food preferences.","simplicity, flexibility, difference, resistance, consistency",flexibility
"Psychologists have spent years trying to discover the answer to the question, ""What makes innovators different?"" In one of the most thorough examinations of the subject, Harvard researchers spent six years and interviewed three thousand executives to find out. Their conclusions are interesting, but the investigators could have saved themselves a lot of time by simply asking Steve Jobs. According to the Harvard research, the number one skill that separates innovators from noncreative professionals is ""associating"": the ability to successfully connect seemingly unrelated questions, problems, or ideas from different fields. ""The more diverse our experience and knowledge, the more connections the brain can make. Fresh inputs trigger new associations; for some, these lead to ___.""","novel ideas, scientific proofs, moral lessons, cultural diversity, mistaken conclusions",novel ideas
"A political scientist has done a series of experiments to demonstrate the positive effects of ___. In those experiments, he used computer-simulated agents that were programmed to solve problems. He set up a series of groups of ten or twenty agents, with each agent endowed with a different set of skills, and had them solve a relatively sophisticated problem. Individually, some of the agents were very good at solving the problem while others were less effective. But what he found was that a group made up of some smart agents and some not-so-smart agents almost always did better than a group made up just of smart agents. You could do as well or better by selecting a group randomly and letting it solve the problem as by spending a lot of time trying to find the smart agents and then putting them alone on the problem.","diversity, creativity, equality, familiarity, practicality",diversity
"When we behave irrationally, our behavior usually seems reasonable to us. When challenged, the mind says (to itself), ""Why are these people giving me a hard time? I'm just doing what makes sense. Any reasonable person would see that!"" In short, we naturally think that our thinking is fully justified. As far as we can tell, we are only doing what is right and proper and reasonable. Any fleeting thoughts suggesting that we might be at fault typically are ___ by more powerful self-justifying thoughts: ""I don't mean any harm. I'm just! I'm fair! It's the  others who are wrong!"" It is important to recognize this nature of the human mind as its natural state. In other words, humans don't have to learn self-justifying, self-serving, self-deceptive thinking and behavior. These patterns are innate in every one of us.","spread, unveiled, fortified, overcome, authorized",overcome
"Reading seems to be an important activity that helps teenagers secure a good ___. Some researchers from Oxford University studied 17,000 people all born in the same week in May, 1970. They are now grown up and in their early 40s and the sociological study has tracked their progress through time. At the age of 16, in 1986, they were asked which activities they did in their spare time for pleasure. These answers were then checked against what they were engaged in at the age of 33, in 2003. The researchers found that there was a 39 percent probability that girls would be in professional or managerial posts at 33 if they had read books at 16, but only a 25 percent chance if they had not. For boys the figures rose from 48 percent to 58 percent if they read books.","job, habit, attitude, education, relationship",job
"When we are children, our bodies grow automatically. A year goes by, and we become taller, stronger, more capable of doing new things and facing new challenges. I think many people carry into adulthood a subconscious belief that mental, spiritual, and emotional growth follows a similar pattern. Time goes by, and we simply get better. We're like Charlie Brown in Charles Schulz's Peanuts comic strip, who once said, ""I think I've discovered the secret of life¡ªyou just hang around until you get used to it."" The problem is that we don't improve by simply living. We have to be ___ about it. Musician Bruce Springsteen commented, ""A time comes when you need to stop waiting for the man you want to become and start being the man you want to be."" No one improves by accident. Personal growth doesn't just happen on its own.","content, defensive, intentional, thankful, self-confident",intentional
"Table manners help us to see that politeness is not, after all, a disadvantage. Although the ill¡©mannered person can grab more of the food, he will receive less of the affection; and fellowship is the real meaning of the meal. Next time, he will not be invited. Politeness makes you a part of things and so gives you an enduring edge over those who never acquired it. And this gives us a clue to the real nature of rudeness: to be rude is not just to be selfish, in the way that children (until taught otherwise) and animals are instinctively selfish; it is to be ___. Even in the friendliest gathering, the rude person will reveal, by some word or gesture, that he is not really part of it. Of course he is there, a living organism, with wants and needs. But he does not belong in the conversation.","clever, alone, talkative, impatient, curious",alone
"A ratio is a way of expressing the relationship between one number and another. If there is one teacher to fifty students, the teacher/student ratio is one to fifty, and the student/teacher ratio is fifty to one. If a very wealthy prince were being tutored by fifty teachers, the teacher/student ratio would be fifty to one, and the student/teacher ratio would be one to fifty. As you can see, the ___ in which the numbers are compared is important. That is, if the arrangement of the two items, teacher and student, changes, the ratio of the items will change, too.","time, order, speed, height, movement",order
"Imagine that you are lying on a bed in a dental clinic. If you were told ""only two times more"" versus ""only ten times more,"" wouldn't you use different mental strategies to try to cope? With either scenario, you would pull out the comforting thought of ""only one more and then it's the last one"" at different times; you would save your most distracting fantasy for a different point. ___ information lets us know what internal coping strategy is likely to work best during a stressor. A simple example: you have some minor surgery. You are told that on the first post-surgical day there is going to be a lot of pain, whereas by the second day, you will just feel a bit achy. Armed with that information, you are more likely to plan on watching distracting videos on the first day and to devote day two to writing poems.","Tentative, Deceptive, Predictive, Subjective, Alternative",Predictive
"Dozens of studies have demonstrated the ___ nature of self-supervision. For instance, people who were asked to make tricky choices and trade-offs¡ªsuch as setting up a wedding registry or ordering a new computer¡ªwere worse at focusing and solving problems than others who had not made the tough choices. In one study, some people were asked to restrain their emotions while watching a sad movie about sick animals. Afterward, they exhibited less physical endurance than others who had let the tears flow freely. The research shows that we burn up self-control in a wide variety of situations: managing the impression we are making on others; coping with fears; controlling our spending; trying to focus on simple instructions such as ""Don't think of a white bear""; and many, many others.","nurturing, hesitating, rewarding, misleading, exhausting",exhausting
"The relationship between physical products and individual ownership is undergoing a profound evolution. We don't want the CD; we want the music it plays. We don't want the disc; we want the storage it holds. We don't want the answering machine; we want the messages it saves. We don't want the DVD; we want the movie it carries. In other words, we want not the stuff but the needs or experiences it fulfills. As our possessions ""dematerialize"" into the intangible, our preconceptions of ownership are changing, creating a dotted line between ""what's mine,"" ""what's yours,"" and ""what's ours."" This shift is fueling a world where ___ has more value than possession, and as Kevin Kelly, a founder of Wired magazine, puts it, where ""access is better than ownership.""","disposal, donation, usage, cooperation, intelligence",usage
"Scientists and educators have long sought to understand the emergence of expertise, artistic and otherwise. Many researchers have argued that exceptional achievement can simply come down to ___. Studies of eminent scientists in the 1950s supported this view by underscoring the individuals' capacity for endurance, concentration and commitment to effortful practice. Benjamin Bloom, an education psychologist, wrote in 1985 that none of his subjects achieved expertise without a supportive environment and a long and intensive period of training. This education came first from encouraging instructors and later from demanding master teachers. A few years later psychologist K. Anders Ericsson of Florida State University conducted studies of experts in piano, violin, chess, or athletics. The investigations revealed that a person's level of achievement correlated strongly with the amount of practice put in.","hard work, deep insight, physical strength, emotional stability, extraordinary talent",hard work
